City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,Muros,42.7762,-9.0603,73.69,89,38,5.73,ES,2021-07-24 17:30:20
145,Pochutla,15.7432,-96.4661,89.42,50,100,5.08,MX,2021-07-24 17:30:22
146,Altamira,-3.2033,-52.2064,93.29,46,40,5.75,BR,2021-07-24 17:30:22
147,Qasigiannguit,68.8193,-51.1922,46.65,96,89,10.36,GL,2021-07-24 17:30:22
148,Datong,40.0936,113.2914,72.84,73,92,6.78,CN,2021-07-24 17:30:23
149,New Norfolk,-42.7826,147.0587,44.92,84,100,1.99,AU,2021-07-24 17:28:31
150,Burkburnett,34.0979,-98.5706,93.29,59,1,3.0,US,2021-07-24 17:30:23
151,Upernavik,72.7868,-56.1549,39.11,90,99,6.85,GL,2021-07-24 17:29:47
152,Byadgi,14.6833,75.4833,71.44,91,92,14.23,IN,2021-07-24 17:30:24
153,Tarbagatay,51.4803,107.3602,54.93,80,0,2.82,RU,2021-07-24 17:30:24
154,Nome,64.5011,-165.4064,48.27,87,90,8.05,US,2021-07-24 17:30:12
155,Sechura,-5.5569,-80.8222,75.29,59,12,10.76,PE,2021-07-24 17:30:25
156,Pendleton,45.6721,-118.7886,84.43,29,1,1.01,US,2021-07-24 17:30:25
157,Puerto Quijarro,-17.7833,-57.7667,98.47,19,0,5.7,BO,2021-07-24 17:30:26
158,Cabo San Lucas,22.8909,-109.9124,96.51,66,1,8.99,MX,2021-07-24 17:30:26
159,Umm Lajj,25.0213,37.2685,88.48,38,0,9.35,SA,2021-07-24 17:30:26
160,Saldanha,-33.0117,17.9442,57.25,67,8,10.38,ZA,2021-07-24 17:30:27
161,Villa Union,23.2,-106.2333,88.02,70,75,0.0,MX,2021-07-24 17:30:27
162,Saint George,37.1041,-113.5841,92.53,42,1,1.99,US,2021-07-24 17:28:05
163,Basavana Bagevadi,16.5833,75.9667,72.55,88,84,17.87,IN,2021-07-24 17:30:28
164,Koupela,12.1794,-0.3517,85.64,52,100,1.68,BF,2021-07-24 17:30:28
165,Aksarka,66.5606,67.7975,58.68,64,78,11.18,RU,2021-07-24 17:30:29
166,Pisco,-13.7,-76.2167,68.05,64,0,9.22,PE,2021-07-24 17:30:29
167,Pandan Niog,6.2282,120.5631,83.12,80,93,12.62,PH,2021-07-24 17:30:29
168,Requena,39.4883,-1.1004,80.01,10,4,16.35,ES,2021-07-24 17:30:30
